wage_total,hh,bs_profit,other_inc,profit_agr,profit_ls,total_agrls,total
224.33114666646048,1021002802.0,-3203.6538082407837,4832.636872847319,,,,1853.3142112729956
4206.208999996135,1021002804.0,,6030.407168453238,,,,10236.616168449375
2103.1605827847343,1021002805.0,11403.654581369907,47547.44113588131,,,,61054.25630003595
,1021002810.0,,3158.232472196344,53.92575641020685,,53.92575641020685,3212.158228606551
,1021002901.0,220.34180038579143,6958.162117446045,,,,7178.503917831837
,1021002903.0,289.9234215602519,11133.059387913672,,,,11422.982809473924
438.1467708329308,1021002905.0,,0.0,,,,438.1467708329308
,1021002906.0,,966.4114052008397,,,,966.4114052008397
350.5174166663446,1021002910.0,37.883327083872906,1391.632423489209,,,,1780.0331672394266
1121.6557333323028,1021003004.0,,0.0,,,,1121.6557333323028
6484.572208327376,1021003103.0,,463.8774744964031,,,,6948.449682823779
2033.0010166647985,1021003109.0,,0.0,,,,2033.0010166647985
,1021003201.0,112.1037230032974,382.6989164595325,,,,494.8026394628299
,1021003203.0,228.07309162739816,309.2516496642687,,,,537.3247412916669
,1021003205.0,510.26522194604337,7074.131486070147,,,,7584.39670801619
711.5503558326794,1021003403.0,115.96936862410077,0.0,,,,827.5197244567802
,1021003407.0,90.84267208887891,0.0,,,,90.84267208887891
,1021003411.0,7.731291241606718,92.77549489928059,,,,100.5067861408873
347.01224249968107,1021003412.0,,0.0,,,,347.01224249968107
1542.2766333319162,1021003415.0,,30.925164966426873,,,,1573.201798298343
,1033000301.0,10.823807738249405,415.9434687984414,516.4926525367981,12.060814336906478,528.5534668737047,955.3207434103955
,1033000302.0,,494.8026394628299,1763.3554804738335,0.0,1763.3554804738335,2258.1581199366633
,1033000303.0,,65.7159755536571,349.6340103408403,,349.6340103408403,415.3499858944974
,1033000304.0,,247.401319731415,476.63853197324823,0.0,476.63853197324823,724.0398517046632
,103300030403.0,25.899825659382504,270.5951934562351,332.0216476652722,,332.0216476652722,628.5166667808899
,1033000307.0,31.698294090587538,442.22985901990415,578.7071295633943,36.2769832568804,614.984112820275,1088.9122659307666
,1033000308.0,,100.50678614088731,749.7977955967892,,749.7977955967892,850.3045817376766
,1033000310.0,,77.31291241606719,386.0659231768611,,386.0659231768611,463.3788355929283
701.0348333326892,1033000504.0,,289.9234215602519,331.6723942649282,,331.6723942649282,1322.6306491578694
,1033000505.0,48.32057026004198,177.8196985569545,458.08255369986824,,458.08255369986824,684.2228225168648
,1033000506.0,23.193873724820147,746.0696048150483,607.1879016491956,47.16087657380098,654.3487782229965,1423.612256762865
,1033000507.0,104.37243176169069,1237.0065986570748,1114.081853602217,250.13332275603057,1364.2151763582478,2705.5942067770134
,1033000509.0,,140.70950059724225,730.1112840059253,,730.1112840059253,870.8207846031676
,1033000510.0,,92.77549489928059,557.892435228314,220.04137249243553,777.9338077207495,870.7093026200301
,1033000511.0,46.387747449640294,193.28228104016796,612.6819404021128,,612.6819404021128,852.351968891921
,103300051102.0,24.353567411061157,1836.1816698815956,267.7462499518857,124.31916316503602,392.0654131169217,2252.6006504095785
2804.139333330757,1041000203.0,,425.2210182883695,,,,3229.3603516191265
665.9830916660547,1041000204.0,,0.0,,,,665.9830916660547
2103.104499998068,1041000206.0,,19.328228104016798,,,,2122.432728102085
,1041000207.0,,251.26696535221834,207.90268305113807,,207.90268305113807,459.1696484033564
806.1900583325926,1041000209.0,,1395.4980691100125,662.3509633712551,0.0,662.3509633712551,2864.03909081386
,1041000210.0,35.17737514931056,881.3672015431657,26.6600417890993,0.0,26.6600417890993,943.2046184815756
1051.5522499990338,1041000211.0,,0.0,,,,1051.5522499990338
350.5174166663446,1041000213.0,52.186215880845346,309.2516496642687,,,,711.9552822114587
350.5174166663446,1043000401.0,,185.55098979856118,,,,536.0684064649058
,1043000402.0,,108.23807738249405,472.1931203976924,,472.1931203976924,580.4311977801865
,1043000403.0,22.807309162739816,367.23633397631914,479.5438912421726,0.0,479.5438912421726,869.5875343812315
140.20696666653785,1043000406.0,,96.64114052008397,350.79988685228903,0.0,350.79988685228903,587.6479940389108
3435.0706833301765,1043000407.0,154.62582483213438,2118.3738002002406,728.38320388525,0.0,728.38320388525,6436.453512247801
1104.1298624989854,1043000408.0,,0.0,,,,1104.1298624989854
,1043000409.0,355.639397113909,231.93873724820156,1297.4042551544535,276.78022644952046,1574.1844816039738,2161.7626159660845
,104300040906.0,38.656456208033596,1399.3637147308161,1238.376489148187,363.7572529175961,1602.1337420657826,3040.153913004632
,104300040908.0,,811.7855803687053,872.7827883881897,-15.076017921133099,857.7067704670567,1669.492350835762
315.46567499971013,1043000410.0,,5696.415386815829,2831.145301809072,1818.9408904128125,4650.086192221885,10661.967254037423
1009.4901599990724,1043000601.0,,1739.5405293615113,966.2503635301914,0.0,966.2503635301914,3715.2810528907753
2453.6219166644123,1043000603.0,1.5462582483213434,850.4420365767389,1212.860940457898,0.0,1212.860940457898,4518.471151947371
1296.914441665475,104300060303.0,,0.0,,,,1296.914441665475
1437.1214083320126,104300060305.0,,139.16401547804506,,,,1576.2854238100576
1209.2850874988887,1043000604.0,15.462582483213437,243.5356741106116,444.433258437787,-2.7059519345623513,441.72730650322467,1910.0106505959384
309.2516496642687,1043000605.0,,193.28228104016796,1147.7051626791792,-1.1596936862410077,1146.5454689929384,1649.079399697375
210.31044999980674,1043000606.0,,0.0,,,,210.31044999980674
408.21217755683466,1043000607.0,,57.98468431205038,282.819227769987,,282.819227769987,749.016089638872
876.2935416658615,1043000610.0,38.656456208033596,1151.9623949994009,2135.777090255263,253.21295090891093,2388.990041164173,4455.902434037469
7010.34833332689,1043000611.0,,220.34180038579143,836.557620273668,0.0,836.557620273668,8067.247753986349
736.0865749993236,104300061103.0,,77.31291241606719,,,,813.3994874153908
,1043000802.0,42.52210182883695,139.1632423489209,,,,181.68534417775786
1402.0696666653785,1043000804.0,,15.462582483213437,442.2298590199042,-1.1596936862410077,441.0701653336632,1858.6024144822552
1729.5439697861138,1043000805.0,17.78196985569545,150.76017921133098,351.80420129773574,0.0,351.80420129773574,2249.890320150876
,1043000806.0,,1082.3807738249404,390.0649114164567,798.2558206958936,1188.3207321123502,2270.7015059372907
946.3970249991304,1043000807.0,,59.91750712245206,278.90633154096236,24.121628673812957,303.0279602147753,1309.3424923363577
2243.3114666646056,104300080702.0,,0.0,,,,2243.3114666646056
701.0348333326892,1043000808.0,34.790810587230226,1758.8687574655282,1179.9401771960252,212.61050914418473,1392.55068634021,3887.245087725658
5566.529693956836,1043000809.0,,811.7855803687053,2441.801040899055,303.0666166709833,2744.8676575700383,9123.182931895579
,1043000810.0,81.17855803687053,289.9234215602519,1576.0390394945869,191.73602279184658,1767.7750622864335,2138.8770418835556
,1043000811.0,26.28639022146284,324.7142321474821,112.5676004777938,0.0,112.5676004777938,463.56822284673876
1402.0696666653785,1051000104.0,135.29759672811755,1237.0065986570748,,,,2774.373862050571
