,familysize,hh
3023001607,8,3023001607
3113000305,8,3113000305
2053001706,8,2053001706
2041000610,8,2041000610
4033000910,8,4033000910
4133000310,8,4133000310
307100050307,8,307100050307
3173001001,8,3173001001
4091000202,7,4091000202
3073002205,7,3073002205
3193001205,7,3193001205
1053003312,7,1053003312
4023003009,7,4023003009
4133000208,7,4133000208
4051000504,7,4051000504
207300050204,7,207300050204
3013000305,7,3013000305
1021002003,7,1021002003
4033000406,7,4033000406
1113000104,7,1113000104
2113000704,7,2113000704
2091000312,7,2091000312
3041000202,7,3041000202
4063001101,7,4063001101
304100070802,7,304100070802
3073002210,7,3073002210
1073002702,7,1073002702
4033000902,7,4033000902
4083000202,7,4083000202
3133000302,7,3133000302
2033002807,7,2033002807
3023001010,7,3023001010
2053001304,7,2053001304
3013000308,7,3013000308
1153002707,7,1153002707
4113000911,7,4113000911
4123000503,7,4123000503
1103000508,7,1103000508
1083003008,7,1083003008
3093000206,7,3093000206
2043001411,7,2043001411
2233001807,7,2233001807
4013000304,7,4013000304
110300070907,7,110300070907
2103000707,7,2103000707
4073000304,7,4073000304
4123000507,7,4123000507
208300080903,7,208300080903
4043001206,7,4043001206
1081000211,7,1081000211
3033001512,7,3033001512
1053000402,7,1053000402
2091000603,7,2091000603
1021001007,7,1021001007
2053003010,7,2053003010
4023001605,7,4023001605
4053001007,7,4053001007
2213000602,7,2213000602
2153000401,7,2153000401
2193000304,7,2193000304
3183000406,7,3183000406
3101000401,7,3101000401
2081000111,7,2081000111
304100041001,7,304100041001
1043000808,7,1043000808
3063000602,7,3063000602
2013000901,7,2013000901
3023000803,7,3023000803
105300040602,7,105300040602
3213002106,7,3213002106
114300030504,7,114300030504
3213003009,7,3213003009
1083003312,7,1083003312
3113000304,7,3113000304
1103000905,7,1103000905
3013000310,7,3013000310
3103000602,7,3103000602
3173001108,7,3173001108
3023001608,7,3023001608
4033000916,7,4033000916
3113000303,7,3113000303
2113000409,7,2113000409
4073000909,7,4073000909
2083000710,7,2083000710
1021001804,7,1021001804
2233002202,7,2233002202
2223002209,7,2223002209
1113000303,7,1113000303
2083000503,7,2083000503
4073000302,7,4073000302
1133000805,7,1133000805
222300221023,7,222300221023
2103000604,7,2103000604
4173001710,7,4173001710
2033002305,7,2033002305
3203002110,7,3203002110
2163000308,7,2163000308
3101000410,7,3101000410
1081000202,7,1081000202
4033000707,7,4033000707
3108300270905,7,3108300270905
1021002203,7,1021002203
106300030512,7,106300030512
2233001102,7,2233001102
3033003309,7,3033003309
4023003006,7,4023003006
1103000703,7,1103000703
1043000805,7,1043000805
3101000404,7,3101000404
3203003003,7,3203003003
3193001204,7,3193001204
1081000303,7,1081000303
1081000209,7,1081000209
3083000407,7,3083000407
2123000905,7,2123000905
1053003307,7,1053003307
1083000904,7,1083000904
1113000505,7,1113000505
3073001714,7,3073001714
3113000308,7,3113000308
1133001409,7,1133001409
2109300040911,7,2109300040911
4133000202,7,4133000202
4051000508,7,4051000508
4023002008,7,4023002008
1163001303,7,1163001303
1043000605,7,1043000605
3021000201,7,3021000201
4013000303,7,4013000303
2123000909,7,2123000909
3023001601,7,3023001601
4043000610,7,4043000610
3103300030706,7,3103300030706
3051000105,7,3051000105
3033000902,7,3033000902
3083000203,7,3083000203
3031000206,7,3031000206
2233001105,7,2233001105
4101000501,7,4101000501
1143000301,7,1143000301
2101000211,7,2101000211
402300300309,7,402300300309
4113000906,7,4113000906
104300040908,7,104300040908
4023001601,7,4023001601
1133002509,7,1133002509
230410004030404,7,230410004030404
1083001610,7,1083001610
1163001104,7,1163001104
3083000210,7,3083000210
2033002811,7,2033002811
1063000908,7,1063000908
4143000304,7,4143000304
3023000310,7,3023000310
1133001202,7,1133001202
4043000810,7,4043000810
3103000909,7,3103000909
2073000510,7,2073000510
1021002703,7,1021002703
106300030511,7,106300030511
1021003201,7,1021003201
4183002007,7,4183002007
2153000406,7,2153000406
2309300010303,7,2309300010303
2401300030408,7,2401300030408
2103000705,7,2103000705
1103000504,7,1103000504
3033001501,7,3033001501
1093000406,7,1093000406
3153001607,7,3153001607
2053001709,7,2053001709
3071000207,7,3071000207
2041000611,7,2041000611
3213002101,7,3213002101
1083002307,7,1083002307
4063000807,7,4063000807
2233001103,7,2233001103
3153001603,7,3153001603
1083003010,7,1083003010
4073000505,7,4073000505
3213002103,7,3213002103
3203002702,7,3203002702
2153000211,7,2153000211
1021002906,7,1021002906
2223002601,7,2223002601
2043001201,7,2043001201
2111000311,7,2111000311
2063000302,7,2063000302
1163001305,7,1163001305
1043000611,7,1043000611
3033003303,7,3033003303
4123000301,7,4123000301
3173000906,7,3173000906
1041000203,7,1041000203
4173001408,7,4173001408
2223002610,7,2223002610
203300330507,7,203300330507
4123000505,7,4123000505
3133000305,7,3133000305
4111000202,7,4111000202
1133001204,7,1133001204
1121000103,7,1121000103
3023000309,7,3023000309
2073000608,7,2073000608
309300020703,7,309300020703
3133000208,7,3133000208
3083000408,7,3083000408
2113000910,7,2113000910
1071000210,7,1071000210
102100040502,7,102100040502
3033001507,7,3033001507
1133001203,7,1133001203
2304100041003,7,2304100041003
2233001410,7,2233001410
1063000905,7,1063000905
4043001001,7,4043001001
304100070803,7,304100070803
3203002709,7,3203002709
3063000202,7,3063000202
3073001209,7,3073001209
4143000310,7,4143000310
107300120302,7,107300120302
3153001606,7,3153001606
2083000509,7,2083000509
2243001304,7,2243001304
2023000704,7,2023000704
3083000212,7,3083000212
1043000403,7,1043000403
203300180403,7,203300180403
3033001508,7,3033001508
2173000907,7,2173000907
1053002602,7,1053002602
116300110402,7,116300110402
3083000208,7,3083000208
205300170503,7,205300170503
1073002007,7,1073002007
2113000406,7,2113000406
1153002706,7,1153002706
3083000204,7,3083000204
4113000407,7,4113000407
3193001207,7,3193001207
302300030307,7,302300030307
2233002209,7,2233002209
3133000301,7,3133000301
3113000405,7,3113000405
4023002007,7,4023002007
2123000803,7,2123000803
2143000204,7,2143000204
2243001305,7,2243001305
2213000603,7,2213000603
1131000210,7,1131000210
3093000201,7,3093000201
2053000908,7,2053000908
1073001207,7,1073001207
3213002302,7,3213002302
1071000205,7,1071000205
1021002810,7,1021002810
2183003709,7,2183003709
208300070203,7,208300070203
3103000805,7,3103000805
3183000203,7,3183000203
3043000902,7,3043000902
2013000605,7,2013000605
302300030404,7,302300030404
4101000102,7,4101000102
1051000305,7,1051000305
3063000603,7,3063000603
4133000511,7,4133000511
4183002009,7,4183002009
1063000711,7,1063000711
4113000903,7,4113000903
3033001509,7,3033001509
2053000910,7,2053000910
3083000107,7,3083000107
2033002301,7,2033002301
4173001705,7,4173001705
1021001705,7,1021001705
4013000308,7,4013000308
2233002208,7,2233002208
2073000509,7,2073000509
2053000406,7,2053000406
3203002707,7,3203002707
1063000305,7,1063000305
4041000311,7,4041000311
4023003005,7,4023003005
4113000610,7,4113000610
4031000207,7,4031000207
4021000203,7,4021000203
4141000105,7,4141000105
2043001509,7,2043001509
3023000506,7,3023000506
1131000610,7,1131000610
3071000701,7,3071000701
4101000109,7,4101000109
2043001207,7,2043001207
3071000202,7,3071000202
4063000809,7,4063000809
2213000601,7,2213000601
4073000902,7,4073000902
2302300160112,7,2302300160112
3041000710,7,3041000710
1113000107,7,1113000107
30201300040603,7,30201300040603
2105300080812,7,2105300080812
2173000902,7,2173000902
3031000207,7,3031000207
4023001106,7,4023001106
1123000609,7,1123000609
3203002408,7,3203002408
1121000101,7,1121000101
1083000609,7,1083000609
2163000302,7,2163000302
2101000207,7,2101000207
1103000706,7,1103000706
4153000704,7,4153000704
3183000401,7,3183000401
1021002103,7,1021002103
3023000806,7,3023000806
2123001103,7,2123001103
3203001809,7,3203001809
3213002810,7,3213002810
2310300100405,7,2310300100405
1021000312,7,1021000312
