id,purch_value,own_value,gift_value,total_value
H11910-04-01,223000.0,,,223000.0
H12001-04-01,162100.0,,,162100.0
H12003-04-01,689600.0,,,689600.0
H12003-04-02,424500.0,,,424500.0
H12005-04-01,759000.0,,,759000.0
H12006-04-01,7500.0,,70500.0,78000.0
H12007-04-01,152400.0,,,152400.0
H12008-04-01,1283000.0,,741000.0,2024000.0
H12008-04-02,169000.0,,,169000.0
H12009-04-01,,,190000.0,190000.0
H12010-04-01,486900.0,,,486900.0
H12011-04-01,633000.0,,,633000.0
H12303-04-01,1185100.0,,,1185100.0
H12306-04-01,1019000.0,,,1019000.0
H12310-04-01,3201900.0,,,3201900.0
H12311-04-01,775000.0,,,775000.0
H12401-04-01,202400.0,,,202400.0
H12402-04-01,3429300.0,,10000.0,3439300.0
