profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls,hh
-37200.0,600000.0,93600.0,562800.0,656400.0,H05901-04-01
1580357.1428571427,3188000.0009015203,,4768357.143758663,4768357.143758663,H05910-04-01
115285.71410690036,140833.33333333334,1393321.3675213675,256119.0474402337,1649440.4149616011,H06001-04-01
94000.0,183994.8717948718,,277994.8717948718,277994.8717948718,H06005-04-01
782000.0,917500.0,-20000.0,1699500.0,1679500.0,H06006-04-01
392000.0,77333.33333333334,-3500.0,469333.3333333334,465833.3333333334,H06008-04-01
1888428.5714285714,,979000.0,1888428.5714285714,2867428.5714285714,H06009-04-01
395833.3333333334,299328.2051282051,,695161.5384615385,695161.5384615385,H06010-04-01
3380928.5714285714,2467666.6666666665,-5000.0,5848595.238095238,5843595.238095238,H06102-04-01
715000.0,953154.358974359,266000.0,1668154.358974359,1934154.358974359,H06103-04-01
,1084407.6923076923,520000.0,1084407.6923076923,1604407.6923076923,H06104-04-01
,,,,,H06105-04-01
865000.0,525833.3333333334,603960.6837606838,1390833.3333333335,1994794.0170940172,H06105-04-02
373000.0,350500.00074505806,,723500.0007450581,723500.0007450581,H06107-04-01
145000.0,224711.53846153847,-5000.0,369711.5384615385,364711.5384615385,H06108-04-01
2522000.0,1434358.9743589745,294160.68376068375,3956358.9743589745,4250519.658119658,H06109-04-01
849000.0,818166.6666666667,372800.0,1667166.6666666667,2039966.6666666667,H06110-04-01
230000.0,166333.33333333334,,396333.3333333334,396333.3333333334,H06201-04-01
1798485.7142857143,755380.9523809524,,2553866.666666667,2553866.666666667,H06207-04-01
-36000.0,556666.6674117248,1454867.6470588236,520666.6674117248,1975534.3144705484,H06208-04-01
336000.0,126000.0,232776.4705882353,462000.0,694776.4705882353,H06303-04-01
62000.0,225446.15419384761,,287446.1541938476,287446.1541938476,H06305-04-01
312104.30839002266,,153380.34188034188,312104.30839002266,465484.65027036454,H06306-04-01
572100.0010430813,308333.3333333334,566800.0,880433.3343764147,1447233.3343764148,H06307-04-01
3504516.6666666665,,,3504516.6666666665,3504516.6666666665,H06310-04-01
1020000.0021606684,,1202660.2826096292,1020000.0021606684,2222660.284770298,H06310-04-02
112400.00013411042,431391.66596463573,,543791.6660987461,543791.6660987461,H06401-04-01
,475100.0,520000.0,475100.0,995100.0,H06402-04-01
649000.0,70400.0,,719400.0,719400.0,H06403-04-01
531114.2857142857,2164166.666666667,-3000.0,2695280.9523809524,2692280.9523809524,H06404-04-01
493000.0,1325000.0000000002,,1818000.0000000002,1818000.0000000002,H06405-04-01
1846500.0014901161,777833.335071802,93600.0,2624333.3365619183,2717933.3365619183,H06406-04-01
2699200.0,1059833.3333333335,78000.0,3759033.3333333335,3837033.3333333335,H06408-04-01
763928.5714285714,1565166.6666666667,574000.0,2329095.238095238,2903095.238095238,H06409-04-01
3026666.6669895253,3901833.331098159,499648.98678414105,6928499.998087684,7428148.984871825,H06410-04-01
1947785.7142857143,2277500.0015894575,-4000.0,4225285.715875172,4221285.715875172,H06411-04-01
700000.0,685653.8461538461,-10000.0,1385653.846153846,1375653.846153846,H06602-04-01
,,520000.0,,520000.0,H06603-04-01
456266.6667699814,476043.58974358975,297824.4933920705,932310.2565135711,1230134.7499056417,H06604-04-01
180000.0,718333.3333333334,-5000.0,898333.3333333334,893333.3333333334,H06605-04-01
1662000.0017881393,1702115.3843732406,,3364115.38616138,3364115.38616138,H06606-04-01
4643571.431432452,4180192.3076923075,,8823763.73912476,8823763.73912476,H06608-04-01
1118000.0,3359166.666666667,606521.3675213675,4477166.666666667,5083688.034188034,H06609-04-01
,48000.0,550000.0,48000.0,598000.0,H06701-04-01
1146771.4287502426,1561023.8095238095,,2707795.238274052,2707795.238274052,H06702-04-01
378400.0,571833.3334823449,,950233.3334823449,950233.3334823449,H06703-04-01
,962121.7948717949,,962121.7948717949,962121.7948717949,H06704-04-01
130000.0,690200.0,,820200.0,820200.0,H06706-04-01
566000.0,531858.9743589744,,1097858.9743589745,1097858.9743589745,H06707-04-01
122000.0,293333.3344260851,934995.7788944724,415333.3344260851,1350329.1133205574,H06709-04-01
,103961.53846153847,-5000.0,103961.53846153847,98961.53846153847,H06710-04-01
840000.0,1467571.7944992657,,2307571.794499266,2307571.794499266,H06802-04-01
287866.666952769,298750.0,-4000.0,586616.666952769,582616.666952769,H06803-04-01
400428.5714285714,233923.07692307694,,634351.6483516484,634351.6483516484,H06810-04-01
680000.0,185666.6666666667,,865666.6666666667,865666.6666666667,H06810-04-02
205950.0,573026.6670391957,-2000.0,778976.6670391957,776976.6670391957,H06908-04-01
111336.73495464787,486682.6923076923,,598019.4272623402,598019.4272623402,H06909-04-01
374714.2845966986,799166.6666666667,-4000.0,1173880.9512633653,1169880.9512633653,H06914-04-01
85500.0,168000.00192721694,-1500.0,253500.00192721694,252000.00192721694,H07003-04-01
254000.0,231923.07692307694,120760.68376068375,485923.07692307694,606683.7606837607,H07008-04-01
,208833.33333333334,,208833.33333333334,208833.33333333334,H07009-04-01
3589642.8571428573,1859233.3333333333,,5448876.19047619,5448876.19047619,H07010-04-01
1074500.0023655593,947615.3856286636,1362800.0,2022115.3879942228,3384915.387994223,H07203-04-01
89600.0,169548.07692307694,,259148.07692307694,259148.07692307694,H07204-04-01
254857.14285714284,160000.0,,414857.14285714284,414857.14285714284,H07205-04-01
429200.0,194076.92307692306,,623276.923076923,623276.923076923,H07206-04-01
,2507730.2564102565,962000.0,2507730.2564102565,3469730.2564102565,H07207-04-01
191426.57142857142,119288.46153846153,150380.34188034188,310715.032967033,461095.37484737486,H07208-04-01
31500.0,92333.33320294817,,123833.33320294817,123833.33320294817,H07208-04-02
34200.0,375000.0,,409200.0,409200.0,H07209-04-01
872500.0013969839,1680224.3639414127,-10000.0,2552724.3653383963,2542724.3653383963,H07210-04-01
222000.0,273214.2857142857,,495214.2857142857,495214.2857142857,H07302-04-01
,278200.00001862645,,278200.00001862645,278200.00001862645,H07303-04-01
273650.0,413916.66626992327,,687566.6662699233,687566.6662699233,H07304-04-01
677785.7160738537,462750.0,,1140535.7160738537,1140535.7160738537,H07309-04-01
429000.0014901161,523333.3333333334,-44000.0,952333.3348234495,908333.3348234495,H07310-04-01
53100.0,46333.333333333336,,99433.33333333334,99433.33333333334,H07311-04-01
840000.0008940697,,-130000.0,840000.0008940697,710000.0008940697,H07408-04-02
322500.00230967987,420500.00000000006,-56000.0,743000.00230968,687000.00230968,H07408-04-03
374500.0,93650.0,,468150.0,468150.0,H07502-04-06
282714.2857142857,266782.0507605106,107521.3675213675,549496.3364747963,657017.7039961638,H07504-04-01
679666.6689018408,489800.0002359351,124800.0,1169466.669137776,1294266.669137776,H07506-04-01
684928.5756754027,470205.12820512825,408936.7400881057,1155133.7038805308,1564070.4439686364,H07508-04-01
2916000.0,987461.5384615385,,3903461.5384615385,3903461.5384615385,H07509-04-01
336599.9985098838,517261.5406142594,,853861.5391241432,853861.5391241432,H07510-04-01
,91666.66666666667,,91666.66666666667,91666.66666666667,H08103-04-01
,78000.0,,78000.0,78000.0,H08107-04-01
320000.0,238365.38461538462,1148000.0,558365.3846153846,1706365.3846153845,H08301-04-01
634761.9068729025,699499.9988824129,784380.3418803419,1334261.9057553154,2118642.2476356574,H08302-04-01
898000.0,447761.90535795124,,1345761.9053579513,1345761.9053579513,H08302-04-02
514500.0,930647.435897436,471141.0256410256,1445147.435897436,1916288.4615384615,H08302-04-03
