,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays
1156,2.0,27.0,,,17.0,0.0,H05110-04-01,0.0,31.0,14.0
1157,2.0,32.0,32.0,5.0,17.0,1.0,H05301-04-01,0.0,41.0,
1160,1.0,40.0,,,17.0,0.0,H05302-04-01,0.0,17.0,
1168,1.0,38.0,,,17.0,1.0,H05303-04-01,0.0,16.0,
1175,1.0,59.0,,10.0,17.0,1.0,H05304-04-01,0.0,16.0,6.0
1182,1.0,53.0,,,17.0,1.0,H05305-04-01,0.0,17.0,8.0
1188,1.0,27.0,17.0,19.0,17.0,1.0,H05305-04-02,0.0,17.0,
1191,1.0,21.0,17.0,19.0,17.0,0.0,H05305-04-03,1.0,,
1197,1.0,51.0,,19.0,30.0,1.0,H05305-04-05,0.0,36.0,
1207,2.0,59.0,,,73.0,0.0,H05306-04-01,1.0,,21.0
1210,1.0,49.0,,,17.0,0.0,H05306-04-02,1.0,14.0,
1211,1.0,31.0,,,17.0,1.0,H05308-04-01,1.0,15.0,3.0
1220,1.0,56.0,,,17.0,1.0,H05309-04-01,0.0,17.0,4.0
1226,1.0,65.0,,,17.0,0.0,H05310-04-01,1.0,14.0,
1230,2.0,48.0,,,17.0,0.0,H05310-04-02,0.0,16.0,4.0
1235,2.0,56.0,,,17.0,0.0,H05403-04-01,0.0,17.0,
1245,2.0,54.0,,,17.0,0.0,H05404-04-01,0.0,34.0,14.0
1249,2.0,75.0,,,17.0,1.0,H05405-04-01,1.0,,7.0
1250,2.0,40.0,,19.0,17.0,1.0,H05406-04-01,1.0,,5.0
1253,2.0,71.0,,,17.0,1.0,H05407-04-01,0.0,,17.0
1261,1.0,33.0,,88.0,17.0,1.0,H05407-04-02,0.0,17.0,
1263,1.0,29.0,,1.0,17.0,1.0,H05409-04-01,0.0,34.0,7.0
1271,1.0,46.0,,,17.0,1.0,H05410-04-01,0.0,33.0,
1273,1.0,31.0,,,17.0,1.0,H05412-04-01,0.0,16.0,
1282,1.0,58.0,,,30.0,1.0,H05412-04-02,0.0,36.0,
1289,2.0,31.0,,,12.0,0.0,H05412-04-03,0.0,17.0,
1295,2.0,47.0,,,18.0,1.0,H05701-04-01,0.0,41.0,
1300,1.0,37.0,,,17.0,1.0,H05702-04-01,0.0,14.0,
1302,2.0,76.0,,,17.0,0.0,H05703-04-01,0.0,15.0,
1310,1.0,56.0,,,17.0,1.0,H05704-04-01,0.0,41.0,
1315,2.0,61.0,,,17.0,1.0,H05705-04-01,0.0,16.0,
1322,1.0,35.0,,,17.0,1.0,H05706-04-01,0.0,35.0,2.0
1330,2.0,77.0,,,17.0,,H05707-04-01,1.0,,14.0
1342,2.0,61.0,,,17.0,1.0,H05709-04-01,0.0,15.0,7.0
1346,1.0,52.0,,,17.0,1.0,H05710-04-01,0.0,16.0,
1356,2.0,45.0,,19.0,17.0,1.0,H05711-04-01,0.0,32.0,2.0
1363,1.0,25.0,,19.0,17.0,1.0,H05711-04-02,0.0,51.0,
1365,2.0,34.0,,,38.0,1.0,H05901-04-01,0.0,33.0,2.0
1368,1.0,33.0,,19.0,17.0,,H05903-04-01,0.0,51.0,
1371,1.0,46.0,,,32.0,1.0,H05904-04-01,0.0,61.0,
1375,1.0,44.0,,10.0,32.0,1.0,H05906-04-01,0.0,32.0,6.0
1392,1.0,62.0,,,32.0,1.0,H05906-04-02,0.0,17.0,6.0
1399,2.0,60.0,,,28.0,1.0,H05910-04-01,0.0,13.0,7.0
1404,1.0,36.0,,,17.0,1.0,H06001-04-01,0.0,51.0,
1410,1.0,48.0,,,17.0,1.0,H06005-04-01,0.0,36.0,
1418,1.0,42.0,,19.0,17.0,,H06006-04-01,0.0,15.0,
1424,1.0,44.0,,,17.0,1.0,H06007-04-01,0.0,17.0,
1425,1.0,44.0,,19.0,17.0,,H06008-04-01,0.0,34.0,
1428,1.0,43.0,21.0,19.0,17.0,1.0,H06009-04-01,0.0,36.0,7.0
1440,2.0,46.0,,,25.0,1.0,H06010-04-01,0.0,41.0,6.0
1445,1.0,60.0,,19.0,30.0,0.0,H06101-04-01,0.0,11.0,7.0
1451,1.0,49.0,,,17.0,1.0,H06102-04-01,0.0,32.0,
1459,2.0,47.0,15.0,9.0,30.0,1.0,H06103-04-01,0.0,11.0,7.0
1462,1.0,46.0,,,17.0,1.0,H06104-04-01,0.0,12.0,12.0
1466,2.0,24.0,,,30.0,1.0,H06104-04-02,0.0,33.0,14.0
1468,2.0,38.0,,,96.0,,H06104-04-03,1.0,,
1471,1.0,44.0,,,17.0,1.0,H06105-04-01,0.0,17.0,
1472,1.0,44.0,,,17.0,1.0,H06105-04-01,0.0,17.0,
1473,1.0,44.0,,,17.0,1.0,H06105-04-02,0.0,16.0,
1474,1.0,44.0,,,17.0,1.0,H06105-04-02,0.0,16.0,
1475,1.0,44.0,,,17.0,1.0,H06105-04-01,0.0,17.0,
1476,1.0,44.0,,,17.0,1.0,H06105-04-01,0.0,17.0,
1477,1.0,44.0,,,17.0,1.0,H06105-04-02,0.0,16.0,
1478,1.0,44.0,,,17.0,1.0,H06105-04-02,0.0,16.0,
1496,2.0,37.0,,,17.0,1.0,H06105-04-02,0.0,16.0,
1503,1.0,41.0,,19.0,17.0,,H06107-04-01,0.0,,
1504,2.0,25.0,,5.0,17.0,1.0,H06107-04-01,0.0,32.0,3.0
1509,2.0,63.0,,,96.0,1.0,H06108-04-01,1.0,,5.0
1516,1.0,58.0,,,17.0,0.0,H06109-04-01,0.0,41.0,
1523,1.0,76.0,,,17.0,0.0,H06110-04-01,0.0,15.0,7.0
1530,2.0,76.0,,,28.0,0.0,H06201-04-01,1.0,,25.0
1536,2.0,33.0,,,28.0,1.0,H06203-04-01,0.0,15.0,7.0
1540,1.0,39.0,,,28.0,0.0,H06207-04-01,1.0,,14.0
1544,1.0,33.0,73.0,19.0,28.0,0.0,H06208-04-01,0.0,13.0,
1554,1.0,77.0,,,28.0,0.0,H06209-04-01,1.0,11.0,21.0
1555,2.0,40.0,15.0,19.0,17.0,1.0,H06301-04-01,0.0,15.0,6.0
1562,1.0,36.0,33.0,1.0,32.0,0.0,H06302-04-01,0.0,15.0,18.0
1566,2.0,73.0,,,25.0,1.0,H06303-04-01,1.0,15.0,7.0
1576,1.0,58.0,,,28.0,1.0,H06303-04-02,0.0,32.0,
1578,2.0,28.0,,,25.0,1.0,H06303-04-03,0.0,17.0,2.0
1582,2.0,49.0,,,38.0,1.0,H06305-04-01,0.0,13.0,
1586,1.0,32.0,,,32.0,1.0,H06306-04-01,0.0,14.0,
1592,2.0,33.0,,9.0,32.0,0.0,H06307-04-01,1.0,,7.0
1601,2.0,32.0,,,28.0,1.0,H06309-04-01,1.0,13.0,14.0
1606,1.0,70.0,,,38.0,,H06310-04-01,0.0,17.0,
1617,1.0,25.0,16.0,4.0,17.0,0.0,H06310-04-02,0.0,16.0,
1619,1.0,32.0,70.0,19.0,17.0,1.0,H06310-04-03,0.0,34.0,
1622,1.0,32.0,,,17.0,0.0,H06401-04-01,0.0,13.0,
1623,1.0,54.0,,,12.0,1.0,H06402-04-01,0.0,14.0,7.0
1625,2.0,74.0,,,12.0,0.0,H06403-04-01,1.0,,14.0
1626,1.0,36.0,,,12.0,1.0,H06404-04-01,0.0,16.0,4.0
1630,1.0,70.0,,,17.0,1.0,H06405-04-01,0.0,13.0,
1637,1.0,30.0,16.0,19.0,30.0,0.0,H06406-04-01,0.0,17.0,
1642,2.0,42.0,13.0,19.0,30.0,1.0,H06408-04-01,1.0,,
1648,1.0,31.0,31.0,19.0,12.0,1.0,H06409-04-01,0.0,33.0,
1657,1.0,48.0,,,17.0,,H06410-04-01,0.0,15.0,
