,hh,profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls
408,133100405,89999.99776482559,,,89999.99776482559,89999.99776482559
409,133100406,-9999.0,,145600.0,-9999.0,135601.0
410,133110401,,330192.30724527285,,330192.30724527285,330192.30724527285
411,140010401,60000.0,,693000.0,60000.0,753000.0
412,140020401,236000.0,,537400.0,236000.0,773400.0
413,140030401,,,,,
414,140030402,-4900.0,,-9500.0,-4900.0,-14400.0
415,140040401,51000.0,,609824.4933920705,51000.0,660824.4933920705
416,140050401,-11500.0,,102497.88944723619,-11500.0,90997.88944723619
417,140060401,,,105000.0,,105000.0
418,140070401,,,,,
419,140080401,39500.0,,402497.8894472362,39500.0,441997.8894472362
420,140090401,142333.3333333333,,451000.0,142333.3333333333,593333.3333333333
421,140100401,346666.6666666666,,,346666.6666666666,346666.6666666666
422,141010401,397333.3333333333,,-60000.0,397333.3333333333,337333.3333333333
423,141040401,205500.0,,-9500.0,205500.0,196000.0
424,141060401,-50000.0,,-500.0,-50000.0,-50500.0
425,141090401,276500.0,235000.0002980232,-25000.0,511500.0002980232,486500.0002980232
426,141100401,,140000.0,-6000.0,140000.0,134000.0
427,141110401,,510576.92307692306,510000.0,510576.92307692306,1020576.923076923
428,142010401,314833.3319028218,35000.0,-61000.0,349833.3319028218,288833.3319028218
429,142020401,88800.0,,-500.0,88800.0,88300.0
430,142030401,,97500.0,-29500.0,97500.0,68000.0
431,142060401,514666.6666666666,24500.0,366561.23348017625,539166.6666666666,905727.9001468429
432,142070401,,,395500.0,,395500.0
433,142080401,257400.0,70000.0,-1100.0,327400.0,326300.0
434,142090401,252000.0,69000.0,30900.0,321000.0,351900.0
435,142100401,,83125.0,,83125.0,83125.0
436,143010402,275000.00037252903,22800.0,389000.0,297800.00037252903,686800.000372529
437,143020401,34000.0,,,34000.0,34000.0
438,143020402,,,573497.8894472362,,573497.8894472362
439,143020403,38800.0,,,38800.0,38800.0
440,143030401,,,1123824.4933920705,,1123824.4933920705
441,143040401,249999.99999999997,42000.0,,292000.0,292000.0
442,143040402,245266.67038599608,110192.3076923077,98497.88944723619,355458.9780783038,453956.86752554
443,143040404,410000.000745058,200000.0,1188561.2334801762,610000.0007450581,1798561.2342252342
444,143050401,681937.5,251000.0,1570000.0,932937.5,2502937.5
445,143060401,90000.0,,,90000.0,90000.0
446,143070401,991666.6666666665,213750.0,327796.7788944724,1205416.6666666665,1533213.445561139
447,143080401,,,688000.0,,688000.0
448,143090401,130000.0,120000.0,,250000.0,250000.0
449,143090402,398000.0,,-5000.0,398000.0,393000.0
450,143090403,99166.66666666666,25000.0,,124166.66666666666,124166.66666666666
451,143090404,43333.33333333333,153365.38461538462,70500.0,196698.71794871794,267198.71794871794
452,143100401,366666.6666666666,199000.0,-2000.0,565666.6666666666,563666.6666666666
453,144010401,,,,,
454,144020401,64000.0,,398800.0,64000.0,462800.0
455,144020402,263000.0002235174,255000.0,-2500.0,518000.0002235174,515500.0002235174
456,144030401,,,,,
457,144040401,,106500.0,98097.88944723619,106500.0,204597.8894472362
458,144040402,-8000.0,,209995.77889447237,-8000.0,201995.77889447237
459,144040403,-4000.0,,-8000.0,-4000.0,-12000.0
460,144050401,,,,,
461,144060401,,,576000.0,,576000.0
462,144070401,,,,,
463,144070402,-27600.0,,112800.0,-27600.0,85200.0
464,144080401,487466.6666666667,,,487466.6666666667,487466.6666666667
465,144090401,,30000.0,595000.0,30000.0,625000.0
466,144100402,,,,,
467,148010402,38400.0,51793.956043956045,520000.0,90193.95604395604,610193.9560439561
468,148020401,355200.0,,,355200.0,355200.0
469,148030401,419600.0,227500.0,,647100.0,647100.0
470,148050401,,2713.461538461539,,2713.461538461539,2713.461538461539
471,148060401,19100.0,130833.33333333334,,149933.33333333334,149933.33333333334
472,148060402,-77500.0,398333.3333333334,,320833.3333333334,320833.3333333334
473,148060403,306500.0,325064.1025641026,,631564.1025641026,631564.1025641026
474,148070401,,163333.33333333334,,163333.33333333334,163333.33333333334
475,148080401,379000.0,557198.7179487179,,936198.7179487179,936198.7179487179
476,148080402,109000.0,64166.66666666667,,173166.6666666667,173166.6666666667
477,148090401,544000.0,499833.3333333334,,1043833.3333333334,1043833.3333333334
478,148100401,1536428.5714285714,425333.3333333334,387824.4933920705,1961761.9047619049,2349586.3981539756
479,149030401,190000.0,532147.435897436,305000.0,722147.435897436,1027147.435897436
480,149030402,248175.0,128333.33333333334,107497.88944723619,376508.3333333334,484006.2227805696
481,149060401,,21000.0,,21000.0,21000.0
482,149070401,430500.0,435153.8461538461,563824.4933920705,865653.8461538461,1429478.3395459168
483,149080401,223333.3333333333,155666.6666666667,,379000.0,379000.0
484,149100401,19899.99856948835,1803365.3846153845,1419500.0,1823265.3831848728,3242765.3831848726
485,150020401,663275.0,386383.3333333333,,1049658.3333333333,1049658.3333333333
