age,aggregate,climate,cons_nd,d_aggregate,d_climate,d_health,d_idiosyn,d_job,d_pests,d_prices,d_shock,health,hh,hhsize,hhsize1,idiosyn,income_dis2,job,lnc,lny,pests,prices,region,reside,sex,shock,sregion,wave
42.0,0.0,0.0,31961840.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,102100110901,,8.0,1.0,9633501.0,0.0,9.421841621398926,8.222545623779297,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100110903,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
21.0,0.0,0.0,3925469.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,102100110904,,3.0,1.0,2964497.0,0.0,7.324784755706787,7.04400634765625,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
36.0,0.0,0.0,4170263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001110,,1.0,0.0,6009292.5,0.0,7.385278224945068,7.750606060028076,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
42.0,0.0,0.0,9862860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001202,,4.0,0.0,3990246.75,0.0,8.246074676513672,7.341152191162109,0.0,0.0,1.0,0.0,2.0,0.0,,2009-2010
40.0,0.0,0.0,7383214.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1021001205,,16.0,1.0,2418533.0,0.0,7.956508159637451,6.840460300445557,0.0,0.0,0.0,0.0,2.0,1.0,,2009-2010
41.0,0.0,0.0,4399873.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001206,,3.0,0.0,1875416.0,0.0,7.4388747215271,6.586129665374756,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
45.0,0.0,0.0,10552481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001208,,6.0,0.0,6158281.0,0.0,8.31365966796875,7.775096416473389,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
34.0,0.0,0.0,14661189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001210,,4.0,0.0,33305260.0,0.0,8.642502784729004,9.463014602661133,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
25.0,0.0,0.0,7132622.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021001211,,1.0,1.0,1374418.375,0.0,7.921977996826172,6.27532958984375,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
26.0,0.0,0.0,12911817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001301,,3.0,0.0,37716736.0,0.0,8.51544189453125,9.587403297424316,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2009-2010
44.0,0.0,0.0,8022007.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001302,,5.0,0.0,2134280.5,0.0,8.039487838745117,6.715428352355957,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2009-2010
36.0,0.0,0.0,11639242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001304,,8.0,0.0,2975218.0,0.0,8.411681175231934,7.047616481781006,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
27.0,0.0,0.0,10349807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001305,,3.0,0.0,4224097.0,0.0,8.294266700744629,7.398104190826416,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
46.0,0.0,0.0,5894509.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1021001306,,5.0,1.0,10449082.0,0.0,7.731320381164551,8.303812980651855,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009-2010
38.0,0.0,0.0,6873668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001307,,6.0,0.0,6427029.0,0.0,7.8849968910217285,7.817811489105225,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
36.0,0.0,0.0,4760813.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021001308,,2.0,1.0,14953303.0,0.0,7.517717361450195,8.6622314453125,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001309,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
28.0,0.0,0.0,3425467.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001311,,4.0,0.0,664865.0625,0.0,7.188536643981934,5.549127578735352,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
80.0,0.0,0.0,8369652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001402,,2.0,0.0,3771392.0,0.0,8.081911087036133,7.284743309020996,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100140202,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
32.0,0.0,0.0,8001845.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,102100140204,,3.0,1.0,1994595.125,0.0,8.036971092224121,6.647739887237549,0.0,0.0,1.0,0.0,1.0,1.0,,2009-2010
42.0,0.0,0.0,3964167.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001403,,2.0,0.0,1984943.0,0.0,7.3345947265625,6.642889022827148,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
31.0,0.0,0.0,9143676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001405,,6.0,0.0,10951372.0,0.0,8.170361518859863,8.350763320922852,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
45.0,0.0,0.0,5555716.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001406,,3.0,0.0,1994595.125,0.0,7.672126293182373,6.647739887237549,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001407,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
35.0,0.0,0.0,9698268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001408,,4.0,0.0,7305693.0,0.0,8.229246139526367,7.945952892303467,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001501,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100150102,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001504,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100150406,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1021001505,,,2.0,,1.0,,,0.0,0.0,,,,2.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001507,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021001512,,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,2009-2010
