hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H03410-04-02,9035512.0,9245512.0,218400.0,218400.0,8817112.0,8817112.0,0.0,0.0,5576116.0,3459396.0,210000.0
H03503-04-01,5816400.0,7155400.0,0.0,0.0,5816400.0,5816400.0,0.0,0.0,3338400.0,2478000.0,1339000.0
H03511-04-01,4476200.0,4605200.0,72000.0,72000.0,4404200.0,4404200.0,720000.0,720000.0,1773200.0,2703000.0,129000.0
H03512-04-01,4392400.0,4440400.0,72000.0,72000.0,1980400.0,1980400.0,2340000.0,2340000.0,2392000.0,2000400.0,48000.0
H03515-04-01,2901800.0,3106800.0,390000.0,390000.0,2511800.0,2511800.0,120000.0,120000.0,2233400.0,668400.0,205000.0
H03601-04-01,3950400.0,4107400.0,96000.0,126000.0,1920000.0,1920000.0,2294400.0,2294400.0,2683200.0,1267200.0,157000.0
H03602-04-04,9063300.0,9616800.0,522000.0,562000.0,5894500.0,5894500.0,2742800.0,2742800.0,3568500.0,5494800.0,553500.0
H03603-04-05,4890000.0,6089000.0,512000.0,512000.0,3010400.0,3010400.0,1727600.0,1727600.0,2074800.0,2815200.0,1199000.0
H03604-04-04,7445200.0,7624200.0,600000.0,600000.0,5805200.0,5805200.0,1400000.0,1400000.0,4435600.0,3009600.0,179000.0
H03604-04-08,6539500.0,6949500.0,848000.0,848000.0,4017100.0,4017100.0,1974400.0,1974400.0,3975400.0,2564100.0,410000.0
H03604-04-09,9241200.0,11013650.0,2810800.0,4161800.0,5676400.0,5676400.0,838000.0,838000.0,6591000.0,2650200.0,1772450.0
H03605-04-02,7933800.0,8384750.0,357600.0,367600.0,5787400.0,5787400.0,2028800.0,2028800.0,5639400.0,2294400.0,450950.0
H03607-04-01,6281800.0,6903800.0,502000.0,502000.0,3653000.0,3653000.0,2798800.0,2798800.0,3055000.0,3226800.0,622000.0
H03608-04-01,1962600.0,1962600.0,264000.0,264000.0,1178600.0,1178600.0,700000.0,700000.0,1302600.0,660000.0,
H03704-04-01,3907200.0,3959200.0,1640000.0,1640000.0,1071200.0,1071200.0,1196000.0,1196000.0,3322800.0,584400.0,52000.0
H03705-04-01,4905800.0,9186800.0,504000.0,1784000.0,2862600.0,2862600.0,1599200.0,1599200.0,2124200.0,2781600.0,4281000.0
H03706-04-01,4445200.0,5362200.0,294000.0,296000.0,1447200.0,1447200.0,3076000.0,3076000.0,3546400.0,898800.0,917000.0
H03707-04-01,7659600.0,8069600.0,840000.0,860000.0,4672000.0,4672000.0,2507600.0,2507600.0,4243200.0,3416400.0,410000.0
H03707-04-02,2185200.0,2297200.0,432000.0,432000.0,1753200.0,1753200.0,0.0,0.0,1404000.0,781200.0,112000.0
H03709-04-01,2518800.0,3183800.0,0.0,300000.0,1582800.0,1582800.0,936000.0,936000.0,2012400.0,506400.0,665000.0
H03711-04-02,4505640.0,4594640.0,771200.0,781200.0,2892040.0,2892040.0,1082400.0,1082400.0,1808040.0,2697600.0,89000.0
H03711-04-03,3943700.0,4086100.0,78000.0,78000.0,3543300.0,3543300.0,322400.0,322400.0,2736500.0,1207200.0,142400.0
H03711-04-04,6835600.0,10502700.0,180000.0,180000.0,6655600.0,6655600.0,480000.0,480000.0,3047200.0,3788400.0,3667100.0
H03804-04-01,2495600.0,2525600.0,0.0,0.0,2495600.0,2495600.0,0.0,0.0,884000.0,1611600.0,30000.0
H03807-04-01,5076500.0,5465100.0,1467600.0,1502600.0,2438900.0,2438900.0,1650000.0,1650000.0,3937700.0,1138800.0,388600.0
H03809-04-01,9861600.0,16022100.0,288000.0,658000.0,8585600.0,8585600.0,3388000.0,3388000.0,4711200.0,5150400.0,6160500.0
H03810-04-01,4478500.0,4712100.0,224400.0,224400.0,3999300.0,3999300.0,1094800.0,1094800.0,2840500.0,1638000.0,233600.0
H03811-04-01,5889000.0,7066000.0,1740000.0,2220000.0,4149000.0,4149000.0,0.0,0.0,2659800.0,3229200.0,1177000.0
H03813-04-01,4770000.0,8805000.0,60000.0,60000.0,4710000.0,4710000.0,0.0,0.0,2839200.0,1930800.0,4035000.0
H03901-04-01,2811000.0,2871600.0,60000.0,60000.0,2751000.0,2751000.0,0.0,0.0,2067000.0,744000.0,60600.0
H03902-04-01,3508700.0,3652200.0,72000.0,72000.0,1081100.0,1081100.0,2643600.0,2643600.0,2822300.0,686400.0,143500.0
H03903-04-01,6569400.0,7965000.0,1356000.0,1476000.0,3455800.0,3455800.0,1757600.0,1757600.0,3783000.0,2786400.0,1395600.0
H03906-04-01,2042600.0,2137600.0,384000.0,384000.0,1502600.0,1502600.0,276000.0,276000.0,1406600.0,636000.0,95000.0
H03907-04-01,8338200.0,12401200.0,896800.0,896800.0,5189800.0,5189800.0,3451600.0,3451600.0,3876600.0,4461600.0,4063000.0
H03908-04-01,5886900.0,6558300.0,224000.0,224000.0,5605700.0,5605700.0,777200.0,777200.0,3303300.0,2583600.0,671400.0
H03909-04-01,7700200.0,10240200.0,582400.0,582400.0,4049800.0,4049800.0,4028000.0,4028000.0,5098600.0,2601600.0,2540000.0
H03909-04-02,15584200.0,15866200.0,926800.0,996800.0,7801200.0,7801200.0,8296200.0,8296200.0,13101400.0,2482800.0,282000.0
H03910-04-01,22429000.0,33500000.0,1680000.0,1680000.0,11370800.0,11370800.0,12378200.0,12378200.0,15566200.0,6862800.0,11071000.0
