,hh,profit_ls,profit_agr,total_agrls
2054,4163000705.0,-10000.0,506985.7142857143,496985.7142857143
2055,4163000706.0,0.0,116321.42857142855,116321.42857142855
2056,4163000708.0,0.0,0.0,0.0
2057,4163000709.0,-4800.0,0.0,-4800.0
2058,4163000710.0,312000.0,0.0,312000.0
2059,4171000801.0,-2000.0,1010085.7142857143,1008085.7142857143
2060,4171000802.0,11364000.0,8625428.57142857,19989428.57142857
2061,4171000803.0,59000.0,3337000.0,3396000.0
2062,4171000804.0,0.0,4487865.476190476,4487865.476190476
2063,4171000805.0,0.0,4429700.0,4429700.0
2064,4171000806.0,-38000.0,1997957.7380952383,1959957.7380952383
2065,4171000807.0,0.0,1470987.5,1470987.5
2066,4171000808.0,-2000.0,8194000.0,8192000.0
2067,4171000809.0,0.0,4278933.333333333,4278933.333333333
2068,4171000810.0,9573600.0,13125200.0,22698800.0
2069,4173001402.0,-3000.0,2558199.999999999,2555199.999999999
2070,4173001403.0,0.0,23005172.380952384,23005172.380952384
2071,4173001404.0,352000.0,2230517.8571428573,2582517.8571428573
2072,4173001405.0,0.0,5890947.619047618,5890947.619047618
2073,4173001406.0,1248000.0,3107483.333333333,4355483.333333333
2074,4173001407.0,0.0,1545569.0476190478,1545569.0476190478
2075,4173001408.0,0.0,823066.6666666667,823066.6666666667
2076,4173001409.0,0.0,4333184.761904762,4333184.761904762
2077,4173001410.0,44000.0,7925561.904761906,7969561.904761906
2078,4173001411.0,1501200.0,3745354.761904762,5246554.761904762
2079,4173001701.0,0.0,3021104.761904762,3021104.761904762
2080,4173001702.0,0.0,2249433.3333333335,2249433.3333333335
2081,4173001703.0,0.0,4747136.904761905,4747136.904761905
2082,4173001704.0,0.0,2749980.9523809524,2749980.9523809524
2083,4173001705.0,17000.0,4697009.523809524,4714009.523809524
2084,4173001706.0,0.0,11235657.142857142,11235657.142857142
2085,4173001707.0,0.0,1949476.1904761908,1949476.1904761908
2086,4173001708.0,75000.0,3307710.7142857146,3382710.7142857146
2087,4173001709.0,-80000.0,8534777.976190478,8454777.976190478
2088,417300170903.0,0.0,4668421.428571429,4668421.428571429
2089,4173001710.0,5533400.0,67285664.28571428,72819064.28571428
2090,4183001101.0,0.0,6860971.428571429,6860971.428571429
2091,4183001102.0,-4500.0,4416859.523809524,4412359.523809524
2092,4183001103.0,0.0,2502950.0,2502950.0
2093,4183001104.0,0.0,1049016.6666666667,1049016.6666666667
2094,4183001105.0,0.0,2881380.9523809534,2881380.9523809534
2095,4183001107.0,20000.0,5100680.952380952,5120680.952380952
2096,4183001108.0,0.0,778300.0,778300.0
2097,4183001109.0,-1000.0,5407591.071428572,5406591.071428572
2098,4183001111.0,0.0,886155.119047619,886155.119047619
2099,4183002001.0,0.0,478233.3333333334,478233.3333333334
2100,4183002002.0,0.0,6649457.142857143,6649457.142857143
2101,4183002003.0,34000.0,18823408.333333336,18857408.333333336
2102,4183002005.0,-109000.0,1423833.3333333333,1314833.3333333333
2103,4183002006.0,-160000.0,1709133.3333333333,1549133.3333333333
2104,4183002007.0,0.0,5482666.666666668,5482666.666666668
2105,4183002009.0,922000.0,18985333.333333332,19907333.333333332
2106,4183002010.0,-20000.0,16887476.19047619,16867476.19047619
2107,4183002301.0,160000.0,26252974.404761903,26412974.404761903
2108,4183002302.0,0.0,6991509.523809522,6991509.523809522
2109,4183002303.0,165000.0,7988033.333333334,8153033.333333334
2110,4183002304.0,0.0,4639060.0,4639060.0
2111,4183002305.0,0.0,5816409.523809522,5816409.523809522
2112,4183002306.0,0.0,31400827.14285714,31400827.14285714
2113,4183002307.0,0.0,7506253.571428571,7506253.571428571
2114,4183002308.0,0.0,4106166.666666666,4106166.666666666
2115,418300230802.0,0.0,4358904.761904761,4358904.761904761
2116,4183002309.0,0.0,17614352.38095238,17614352.38095238
2117,4183002310.0,3817500.0,13385700.0,17203200.0
2118,4193003203.0,4600000.0,0.0,4600000.0
2119,4193003205.0,900000.0,1719285.7142857146,2619285.7142857146
2120,4193003206.0,148000.0,2023228.5714285714,2171228.5714285714
2121,4193003208.0,80000.0,5649276.19047619,5729276.19047619
2122,4193003210.0,13282400.0,6402552.380952381,19684952.38095238
2123,4193003211.0,-45200.0,1730666.6666666665,1685466.6666666665
2124,4193003212.0,322400.0,3391228.571428572,3713628.571428572
2125,4193003502.0,414840.0,2094266.666666667,2509106.666666667
2126,4193003503.0,849200.0,4662166.666666666,5511366.666666666
2127,4193003504.0,204280.0,4460433.333333334,4664713.333333334
2128,4193003506.0,3734000.0,9096979.166666668,12830979.166666668
2129,4193003507.0,198400.0,4450000.0,4648400.0
2130,4193003508.0,380000.0,13113309.525955291,13493309.525955291
2131,4193003509.0,111600.0,3784394.0476190485,3895994.0476190485
2132,4193003510.0,5174600.0,13533666.666666666,18708266.666666664
2133,1013000204.0,200400.0,81125.0,281525.0
2134,1021003309.0,0.0,-2.0,-2.0
2135,1033000507.0,0.0,350666.6666666666,350666.6666666666
2136,1033000509.0,0.0,262000.0,262000.0
2137,1033000511.0,-71000.0,2786180.9523809524,2715180.9523809524
2138,1043000406.0,0.0,110742.85714285713,110742.85714285713
2139,1051000301.0,0.0,0.0,0.0
2140,1053000406.0,0.0,21000.0,21000.0
2141,105300080208.0,0.0,906000.0,906000.0
2142,1053001202.0,0.0,240878.57154256527,240878.57154256527
2143,1053002304.0,-4000.0,97000.0,93000.0
2144,1053003301.0,0.0,1129900.0,1129900.0
2145,1063000307.0,0.0,428566.6666666666,428566.6666666666
2146,106300051004.0,0.0,568600.9523809524,568600.9523809524
2147,1063000705.0,0.0,1289033.3333333335,1289033.3333333335
2148,107300121003.0,0.0,669392.8571428572,669392.8571428572
2149,1073001606.0,0.0,4207428.571428571,4207428.571428571
2150,1073002306.0,0.0,7528731.5476190485,7528731.5476190485
2151,1073002307.0,0.0,1198800.0,1198800.0
2152,1081000202.0,-179600.0,426133.3333333333,246533.3333333333
2153,108100020203.0,-40500.0,810557.142857143,770057.142857143
2154,108100020802.0,0.0,689400.0,689400.0
2155,1081000209.0,0.0,553100.0,553100.0
2156,1081000211.0,25000.0,2326892.8571428573,2351892.8571428573
2157,108300060803.0,0.0,1799804.7619047621,1799804.7619047621
2158,108300130403.0,0.0,429390.4761904762,429390.4761904762
2159,1083001306.0,0.0,876133.3333333334,876133.3333333334
2160,1083002001.0,0.0,185200.0,185200.0
2161,108300200202.0,0.0,77614.28571428571,77614.28571428571
2162,1083002003.0,0.0,362499.9988824129,362499.9988824129
2163,1083002004.0,201000.0,1185199.9985098839,1386199.9985098839
2164,108300200902.0,0.0,193333.3333333333,193333.3333333333
2165,1083002301.0,0.0,87761.90476190473,87761.90476190473
2166,1083002304.0,0.0,868209.5238095238,868209.5238095238
2167,1083002306.0,45000.0,824000.0,869000.0
2168,1083002309.0,0.0,175633.33333333334,175633.33333333334
2169,1083002707.0,0.0,18200.0,18200.0
2170,1083003307.0,0.0,138057.14285714284,138057.14285714284
2171,1093000404.0,-21500.0,271571.4285714286,250071.42857142858
2172,1093000408.0,292000.0,1461085.7142857143,1753085.7142857143
2173,109300040907.0,0.0,1844000.0,1844000.0
2174,1101000103.0,0.0,2724000.0,2724000.0
2175,1103000501.0,952900.0,372000.0,1324900.0
2176,1103000708.0,33500.0,2013971.4285714286,2047471.4285714286
2177,110300090302.0,0.0,1690714.2857142857,1690714.2857142857
2178,1113000301.0,0.0,0.0,0.0
2179,111300051004.0,-1000.0,2600800.0,2599800.0
2180,1123000609.0,48000.0,5369380.952380952,5417380.952380952
2181,1131000203.0,0.0,456604.7619047619,456604.7619047619
2182,1131000208.0,0.0,187138.09523809524,187138.09523809524
2183,1131000302.0,0.0,1503466.6666666665,1503466.6666666665
2184,1131000410.0,0.0,465095.23809523805,465095.23809523805
2185,1131000608.0,0.0,1250766.6666666665,1250766.6666666665
2186,1133000806.0,0.0,150500.0,150500.0
2187,1133000809.0,18500.0,639666.6666666666,658166.6666666666
2188,1133001403.0,0.0,200500.0,200500.0
2189,1133001404.0,0.0,327000.0,327000.0
2190,1133001607.0,0.0,552600.0,552600.0
2191,1133001903.0,0.0,12110320.428571427,12110320.428571427
2192,1133001912.0,-400.0,625500.0,625100.0
2193,1133002308.0,0.0,309622.22222222225,309622.22222222225
2194,1133002504.0,0.0,101250.0,101250.0
2195,1143000305.0,0.0,515542.85714285716,515542.85714285716
2196,1153003105.0,0.0,173571.42857142858,173571.42857142858
2197,1153003107.0,-8700.0,594138.0952380951,585438.0952380951
2198,1163001302.0,0.0,115200.0,115200.0
2199,2013000401.0,153000.0,2958445.7160738534,3111445.7160738534
2200,2013000610.0,-13000.0,0.0,-13000.0
2201,2013000806.0,0.0,1248542.857142857,1248542.857142857
2202,201300080903.0,8000.0,1236300.0,1244300.0
2203,201300090902.0,0.0,203685.7142857143,203685.7142857143
2204,203100040102.0,0.0,1413709.5238095238,1413709.5238095238
2205,2031000405.0,1840800.0,309428.57142857136,2150228.5714285714
2206,2033001805.0,0.0,162171.42857142858,162171.42857142858
2207,2033001807.0,0.0,480700.0,480700.0
2208,2033002806.0,0.0,0.0,0.0
2209,2041000209.0,0.0,-2500.0,-2500.0
2210,2041000603.0,0.0,46271.42857142857,46271.42857142857
2211,2041000907.0,0.0,286428.5714285714,286428.5714285714
2212,2043001205.0,0.0,28290.47619047619,28290.47619047619
2213,2043001207.0,0.0,1005114.2857142856,1005114.2857142856
2214,2043001409.0,0.0,0.0,0.0
2215,2043001503.0,0.0,797927.6190476189,797927.6190476189
2216,2053000405.0,0.0,-52500.0,-52500.0
2217,2053000907.0,0.0,587400.0,587400.0
2218,205300130910.0,0.0,108166.66666666666,108166.66666666666
2219,2063000301.0,0.0,554904.761904762,554904.761904762
2220,2081000102.0,0.0,131000.00056624413,131000.00056624413
2221,2081000111.0,1644000.0,485500.0,2129500.0
2222,209300330602.0,-3000.0,736709.5238095238,733709.5238095238
2223,2101000205.0,0.0,893314.2857142857,893314.2857142857
2224,2101000207.0,0.0,783328.5714285715,783328.5714285715
2225,2101000208.0,0.0,127457.14285714286,127457.14285714286
2226,2101000211.0,0.0,232857.14285714284,232857.14285714284
2227,2103000411.0,0.0,1266000.0,1266000.0
2228,2103000604.0,-1500.0,209285.7142857143,207785.7142857143
2229,2103000704.0,-5000.0,400000.0,395000.0
2230,2103000706.0,0.0,49000.0,49000.0
2231,210300070904.0,0.0,798000.0,798000.0
2232,210300070906.0,4000.0,1087119.0476190473,1091119.0476190473
2233,2111000310.0,0.0,612900.0,612900.0
2234,2113000409.0,201000.0,1068000.0,1269000.0
2235,2113000608.0,52000.0,768000.0,820000.0
2236,211300070905.0,92000.0,856000.0,948000.0
2237,2121000307.0,0.0,610428.5714285714,610428.5714285714
2238,2121000310.0,35000.0,94304.7619047619,129304.7619047619
2239,2123000801.0,0.0,605000.0,605000.0
2240,2123000806.0,0.0,584200.0,584200.0
2241,2123001105.0,0.0,946428.5714285715,946428.5714285715
2242,2143000203.0,581900.0,2220528.5714285714,2802428.5714285714
2243,214300020806.0,0.0,559571.4285714285,559571.4285714285
2244,214300020807.0,0.0,1372828.5714285714,1372828.5714285714
2245,214300020808.0,0.0,2458609.5238095243,2458609.5238095243
2246,2143000309.0,0.0,2928135.7142857146,2928135.7142857146
2247,2151000103.0,0.0,373142.85714285716,373142.85714285716
2248,2151000105.0,0.0,58857.142857142855,58857.142857142855
2249,2153000703.0,0.0,132142.85714285713,132142.85714285713
2250,2153000704.0,0.0,906071.4285714285,906071.4285714285
2251,2193000301.0,0.0,801271.4285714285,801271.4285714285
2252,2213000609.0,0.0,155000.0,155000.0
2253,2223002601.0,414800.0,654560.0,1069360.0
2254,2223002604.0,0.0,311600.0,311600.0
2255,2223002609.0,1096800.0,3485942.8571428573,4582742.857142857
2256,2233001104.0,0.0,1365800.0,1365800.0
2257,223300110603.0,0.0,130000.0,130000.0
2258,3021000212.0,-9000.0,867700.0,858700.0
