,hh,urban,year,month,index,inflation,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,wage_total,bs_profit,other_inc,profit_ls,profit_agr,total_agrls,inctotal,inctotal_trans,w_share,worker,agr_share,farmer,bus_share,businessman,ocupation
46,1021000810,1,2009,10,46,0.7292036084702209,934.3874457124621,934.3874457124621,13.783089520324529,387.3048155211193,547.0826301913429,,5.3011882770478955,1692000.0,,,,5.3011882770478955,5.3011882770478955,,0.0,,0.0,1.0,1.0,businessman
47,1021000811,1,2009,10,47,0.7292036084702209,2988.862962482374,2988.862962482374,0.0,1682.2260759556086,1306.6368865267655,1183.22522343709,29.686654351468217,56000.0,0.0,0.0,0.0,1212.9118777885585,1212.9118777885585,0.9755244755244755,1.0,0.0,0.0,0.024475524475524476,0.0,worker
48,1021000909,1,2010,4,48,0.7258143156220446,2019.1182231598448,2202.863254150888,0.0,737.37679828145,1281.7414248783946,1089.6879229207993,266.2971463638317,6000000.0,0.0,0.0,0.0,1355.985069284631,1355.985069284631,0.8036135113904164,1.0,0.0,0.0,0.19638648860958366,0.0,worker
49,1021001003,1,2010,6,49,0.723981600683125,5901.987066217436,5901.987066217436,0.0,3047.2099756552534,2854.777090562183,,,11600000.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,nothing
50,1021001004,1,2009,12,50,0.7273700192526662,1410.9072030014302,1410.9072030014302,5.52713383728148,873.2871462904739,537.6200567109563,761.1501040148592,,0.0,0.0,0.0,0.0,761.1501040148592,761.1501040148592,1.0,1.0,0.0,0.0,,0.0,worker
51,1021001005,1,2009,12,51,0.7273700192526662,4005.0993568400927,4005.0993568400927,780.707654516009,3059.959470664959,945.139886175133,370.70777884083697,-2.125820706646723,1736000.0,0.0,0.0,0.0,368.58195813419024,368.58195813419024,1.0057675658282568,1.0,0.0,0.0,-0.00576756582825677,0.0,worker
52,1021001007,1,2009,12,52,0.7273700192526662,1958.4123259982937,1958.4123259982937,0.0,1221.4965780392072,736.9157479590865,2075.863920040525,29.761489893054122,112000.0,,,,2105.6254099335792,2105.6254099335792,0.9858657243816255,1.0,,0.0,0.014134275618374558,0.0,worker
53,1021001008,1,2009,12,53,0.7273700192526662,1569.918591858605,1569.918591858605,96.72484215242591,909.2135162328034,660.7050756258016,,5.314551766616807,1890000.0,0.0,0.0,0.0,5.314551766616807,5.314551766616807,,0.0,0.0,0.0,1.0,1.0,businessman
54,1021001009,1,2009,12,54,0.7273700192526662,3754.305658973445,3754.305658973445,0.0,2593.6075531443344,1160.6981058291108,2135.174317755969,,0.0,0.0,0.0,0.0,2135.174317755969,2135.174317755969,1.0,1.0,0.0,0.0,,0.0,worker
55,1021001011,1,2010,6,55,0.723981600683125,849.6093417316698,873.6367552421808,92.47884488934466,374.8276507639719,474.78169096769784,238.35194202426936,25.629241077878426,1844000.0,,,,263.9811831021477,263.9811831021477,0.9029126213592233,1.0,,0.0,0.0970873786407767,0.0,worker
