hh,own_value
2083000707.0,109200.0
2083000708.0,
2083000709.0,273000.0
2083000710.0,31200.0
2083000801.0,187200.0
2083000802.0,156000.0
2083000803.0,46800.0
2083000804.0,
2083000805.0,312000.0
2083000806.0,
2083000807.0,436800.0
2083000808.0,444600.0
2083000809.0,416000.0
2083000810.0,
2091000306.0,
2091000308.0,
2091000312.0,
2091000603.0,
2091000604.0,
2091000607.0,
2091000609.0,
2091000611.0,
2093003301.0,
2093003302.0,
2093003306.0,
2093003309.0,
2101000205.0,
2101000206.0,
2101000207.0,
2101000208.0,
2101000211.0,
2103000402.0,447200.0
2103000405.0,
2103000406.0,
2103000407.0,
2103000408.0,
2103000409.0,
2103000602.0,
2103000603.0,
2103000604.0,
2103000605.0,
2103000606.0,
2103000607.0,291200.0
2103000609.0,
2103000610.0,
2103000611.0,218400.0
2103000703.0,
2103000704.0,
2103000705.0,
2103000707.0,
2103000708.0,
2103000709.0,478400.0
2111000307.0,
2111000310.0,
2111000311.0,195000.0
2113000401.0,
2113000402.0,109200.0
2113000403.0,36400.0
2113000404.0,780000.0
2113000405.0,221000.0
2113000406.0,
2113000407.0,
2113000408.0,
2113000409.0,208000.0
2113000410.0,273000.0
2113000602.0,31200.0
2113000604.0,
2113000605.0,260000.0
2113000606.0,
2113000607.0,
2113000608.0,52000.0
2113000609.0,
2113000610.0,
2113000701.0,327600.0
2113000702.0,41600.0
2113000703.0,291200.0
2113000704.0,163800.0
2113000705.0,239200.0
2113000706.0,
2113000707.0,182000.0
2113000708.0,
2113000709.0,
2113000710.0,312000.0
2113000901.0,52000.0
2113000902.0,
2113000903.0,
2113000905.0,457600.0
2113000907.0,
2113000908.0,
2113000909.0,260000.0
2113000910.0,
2121000304.0,
2121000305.0,
2121000306.0,
2121000307.0,
2121000311.0,
2123000802.0,312000.0
2123000803.0,
2123000804.0,
2123000808.0,
2123000809.0,
2123000810.0,
2123000902.0,
2123000903.0,
2123000904.0,
2123000907.0,
2123000909.0,546000.0
2123000910.0,
2123001102.0,728000.0
2123001103.0,
2123001105.0,
2123001106.0,
2123001108.0,
2123001109.0,
2123001110.0,
2123001302.0,
2123001303.0,
2123001308.0,
2123001309.0,
2123001310.0,
2143000201.0,
2143000202.0,780000.0
2143000203.0,582400.0
2143000204.0,
2143000205.0,52000.0
2143000206.0,
2143000207.0,
2143000208.0,
2143000209.0,
2143000210.0,
2143000301.0,
2143000302.0,
2143000308.0,
2143000309.0,
2143000310.0,
2151000101.0,31200.0
2151000103.0,
2151000105.0,
2151000106.0,
2151000108.0,39000.0
2151000109.0,
2151000110.0,
2153000202.0,218400.0
2153000203.0,312000.0
2153000206.0,
2153000207.0,
2153000209.0,
2153000211.0,
2153000401.0,
2153000405.0,
2153000406.0,145600.0
2153000409.0,
2153000410.0,
2153000603.0,62400.0
2153000604.0,72800.0
2153000605.0,
2153000608.0,
2153000704.0,
2153000706.0,182000.0
2153000707.0,
2153000710.0,291200.0
2163000302.0,384800.0
2163000307.0,364000.0
2163000310.0,
2173000903.0,104000.0
2173000904.0,
2173000905.0,728000.0
2173000907.0,
2173000909.0,
2183003705.0,
2183003709.0,145600.0
2183003710.0,624000.0
2193000303.0,
2193000304.0,
2193000306.0,
2193000307.0,156000.0
2193000308.0,
2193000309.0,551200.0
2193000310.0,
2203000102.0,171600.0
2203000103.0,759200.0
2203000104.0,218400.0
2203000107.0,
2203000109.0,145600.0
2203000110.0,696800.0
2213000601.0,
2213000602.0,468000.0
2213000603.0,
2213000604.0,364000.0
2213000610.0,
2223002201.0,
2223002205.0,
2223002206.0,
2223002207.0,
2223002208.0,
2223002209.0,312000.0
2223002210.0,280800.0
2223002211.0,
2223002601.0,436800.0
2223002602.0,
2223002603.0,
2223002606.0,62400.0
2223002608.0,
2223002609.0,436800.0
2223002610.0,
2233001103.0,
2233001105.0,
2233001108.0,
2233001110.0,20800.0
2233001402.0,
2233001403.0,
2233001407.0,260000.0
2233001410.0,280800.0
2233001803.0,613600.0
2233001809.0,218400.0
2233001810.0,582400.0
2233002203.0,
2233002205.0,41600.0
2233002208.0,587600.0
